index,xmin,ymin,xmax,ymax,order
17,0.0,0.0,555.0,618.0,4
17,95.0,548.0,758.0,784.0,5
17,544.0,796.0,760.0,1099.0,6
17,91.0,804.0,534.0,1094.0,7
18,894.0,96.0,1560.0,507.0,0
18,1180.0,525.0,1558.0,741.0,1
18,897.0,521.0,1171.0,746.0,2
18,832.0,739.0,1648.0,1169.0,3
18,75.0,96.0,738.0,388.0,4
18,1.0,411.0,820.0,1095.0,5
19,834.0,0.0,1653.0,465.0,0
19,908.0,474.0,1574.0,705.0,1
19,1340.0,723.0,1571.0,1089.0,2
19,1038.0,726.0,1335.0,1090.0,3
19,908.0,721.0,1065.0,1094.0,4
19,77.0,107.0,740.0,624.0,5
19,73.0,640.0,741.0,833.0,6
19,323.0,852.0,739.0,1092.0,7
19,73.0,854.0,325.0,1099.0,8
20,920.0,100.0,1581.0,441.0,0
20,920.0,100.0,1581.0,441.0,0
20,1277.0,462.0,1583.0,1169.0,1
20,921.0,460.0,1292.0,736.0,2
20,1101.0,739.0,1310.0,934.0,3
20,917.0,755.0,1094.0,916.0,4
20,917.0,932.0,1317.0,1098.0,5
20,1.0,1.0,824.0,642.0,6
20,446.0,593.0,748.0,1103.0,7
20,446.0,593.0,748.0,1103.0,7
20,82.0,609.0,442.0,1101.0,8
21,1094.0,0.0,1652.0,667.0,0
21,905.0,99.0,1161.0,671.0,1
21,837.0,667.0,1651.0,974.0,2
21,907.0,936.0,1571.0,1098.0,3
21,579.0,103.0,733.0,373.0,4
21,420.0,99.0,605.0,373.0,5
21,453.0,397.0,825.0,647.0,6
21,3.0,4.0,481.0,663.0,7
21,7.0,667.0,821.0,1098.0,8
22,831.0,4.0,1651.0,1169.0,0
22,5.0,4.0,819.0,798.0,1
22,92.0,669.0,762.0,1100.0,2
23,833.0,101.0,1645.0,361.0,0
23,831.0,327.0,1649.0,817.0,1
23,835.0,838.0,1649.0,1096.0,2
23,5.0,101.0,821.0,449.0,3
23,5.0,423.0,821.0,714.0,4
23,426.0,737.0,760.0,1099.0,5
23,92.0,737.0,454.0,1099.0,6
24,832.0,8.0,1652.0,743.0,0
24,1367.0,745.0,1560.0,1089.0,1
24,903.0,743.0,1371.0,1169.0,2
24,7.0,95.0,829.0,642.0,3
24,80.0,557.0,748.0,872.0,4
24,82.0,887.0,750.0,1096.0,5
25,833.0,2.0,1647.0,521.0,0
25,907.0,533.0,1573.0,795.0,1
25,909.0,816.0,1575.0,1096.0,2
25,506.0,93.0,756.0,373.0,3
25,90.0,95.0,497.0,353.0,4
25,7.0,325.0,819.0,781.0,5
25,90.0,781.0,754.0,1169.0,6
26,1270.0,95.0,1567.0,327.0,0
26,1292.0,336.0,1564.0,566.0,1
26,836.0,8.0,1316.0,605.0,2
26,832.0,546.0,1652.0,1092.0,3
26,1.0,0.0,821.0,711.0,4
26,82.0,733.0,748.0,1093.0,5
27,913.0,93.0,1570.0,406.0,0
27,1247.0,430.0,1568.0,760.0,1
27,907.0,428.0,1236.0,760.0,2
27,913.0,782.0,1570.0,1085.0,3
28,913.0,101.0,1577.0,616.0,0
28,913.0,635.0,1577.0,1095.0,1
28,326.0,101.0,747.0,549.0,2
28,84.0,99.0,316.0,331.0,3
28,84.0,334.0,316.0,541.0,4
28,82.0,566.0,746.0,875.0,5
28,82.0,892.0,748.0,1101.0,6
29,834.0,110.0,1648.0,703.0,0
29,1335.0,717.0,1571.0,1098.0,1
29,1168.0,721.0,1324.0,1098.0,2
29,909.0,721.0,1157.0,1096.0,3
29,553.0,97.0,746.0,323.0,4
29,424.0,97.0,542.0,325.0,5
29,82.0,99.0,411.0,325.0,6
29,80.0,346.0,748.0,753.0,7
29,408.0,770.0,750.0,1094.0,8
29,218.0,770.0,393.0,1096.0,9
29,82.0,774.0,204.0,1100.0,10
30,907.0,103.0,1571.0,520.0,0
30,1288.0,525.0,1569.0,718.0,1
30,909.0,523.0,1279.0,722.0,2
30,1196.0,741.0,1570.0,1093.0,3
30,907.0,741.0,1186.0,918.0,4
30,907.0,923.0,1186.0,1094.0,5
30,90.0,99.0,758.0,580.0,6
30,430.0,599.0,755.0,1098.0,7
30,88.0,601.0,415.0,812.0,8
30,90.0,833.0,419.0,1100.0,9
31,1353.0,101.0,1560.0,351.0,0
31,905.0,101.0,1338.0,343.0,1
31,901.0,370.0,1563.0,1097.0,2
31,347.0,97.0,754.0,516.0,3
31,96.0,99.0,334.0,518.0,4
31,90.0,540.0,754.0,831.0,5
31,430.0,845.0,755.0,1095.0,6
31,90.0,849.0,415.0,1095.0,7
32,907.0,97.0,1573.0,433.0,0
32,1218.0,409.0,1645.0,1087.0,1
32,911.0,436.0,1206.0,1094.0,2
32,3.0,101.0,821.0,563.0,3
32,86.0,582.0,750.0,800.0,4
32,406.0,819.0,752.0,1092.0,5
32,86.0,821.0,436.0,1094.0,6
33,829.0,0.0,1651.0,746.0,0
33,1206.0,762.0,1570.0,1096.0,1
33,909.0,764.0,1192.0,1094.0,2
33,371.0,101.0,755.0,565.0,3
33,92.0,99.0,360.0,386.0,4
33,88.0,391.0,360.0,570.0,5
33,463.0,585.0,758.0,746.0,6
33,461.0,750.0,754.0,1092.0,7
33,90.0,587.0,448.0,1096.0,8
34,831.0,0.0,1647.0,1167.0,0
34,3.0,2.0,823.0,643.0,1
34,491.0,604.0,743.0,1084.0,2
34,82.0,582.0,485.0,785.0,3
34,86.0,806.0,481.0,1091.0,4
35,1055.0,2.0,1647.0,599.0,0
35,834.0,95.0,1092.0,598.0,1
35,905.0,599.0,1564.0,757.0,2
35,830.0,758.0,1644.0,1090.0,3
35,7.0,0.0,823.0,546.0,4
35,74.0,566.0,740.0,782.0,5
35,491.0,729.0,741.0,1099.0,6
35,288.0,748.0,475.0,1112.0,7
35,5.0,776.0,288.0,1096.0,8
36,831.0,0.0,1645.0,758.0,0
36,911.0,764.0,1577.0,1104.0,1
36,84.0,2.0,743.0,313.0,2
36,9.0,271.0,823.0,684.0,3
36,506.0,693.0,746.0,1100.0,4
36,322.0,690.0,519.0,1099.0,5
36,82.0,686.0,346.0,1095.0,6
37,827.0,4.0,1649.0,591.0,0
37,911.0,525.0,1573.0,922.0,1
37,907.0,925.0,1571.0,1098.0,2
37,369.0,97.0,747.0,500.0,3
37,80.0,97.0,354.0,474.0,4
37,86.0,481.0,745.0,782.0,5
37,463.0,803.0,746.0,1100.0,6
37,304.0,805.0,448.0,1098.0,7
37,82.0,807.0,291.0,1092.0,8
38,909.0,105.0,1571.0,1101.0,0
38,88.0,105.0,750.0,1099.0,1
39,903.0,101.0,1567.0,453.0,0
39,1153.0,387.0,1562.0,631.0,1
39,1155.0,635.0,1566.0,1095.0,2
39,905.0,442.0,1167.0,1092.0,3
39,546.0,99.0,747.0,592.0,4
39,84.0,99.0,536.0,592.0,5
39,86.0,611.0,745.0,1096.0,6
40,909.0,95.0,1571.0,349.0,0
40,907.0,375.0,1573.0,805.0,1
40,909.0,829.0,1571.0,1093.0,2
40,86.0,99.0,748.0,351.0,3
40,432.0,370.0,749.0,685.0,4
40,86.0,370.0,420.0,685.0,5
40,591.0,705.0,749.0,1092.0,6
40,386.0,703.0,599.0,1094.0,7
40,302.0,705.0,393.0,1092.0,8
40,84.0,703.0,293.0,1094.0,9
41,907.0,101.0,1571.0,315.0,0
41,909.0,338.0,1568.0,731.0,1
41,1359.0,748.0,1568.0,1094.0,2
41,905.0,750.0,1347.0,1098.0,3
41,412.0,97.0,758.0,449.0,4
41,96.0,101.0,397.0,447.0,5
41,96.0,474.0,758.0,798.0,6
41,491.0,817.0,757.0,1098.0,7
41,94.0,817.0,478.0,1094.0,8
42,1243.0,95.0,1560.0,437.0,0
42,901.0,97.0,1237.0,433.0,1
42,1133.0,458.0,1562.0,647.0,2
42,901.0,458.0,1120.0,645.0,3
42,901.0,668.0,1560.0,1089.0,4
42,3.0,95.0,825.0,551.0,5
42,390.0,568.0,748.0,1093.0,6
42,82.0,566.0,407.0,1089.0,7
43,1096.0,101.0,1572.0,414.0,0
43,909.0,99.0,1082.0,419.0,1
43,1217.0,434.0,1569.0,670.0,2
43,909.0,436.0,1204.0,672.0,3
43,833.0,688.0,1647.0,1089.0,4
43,573.0,93.0,742.0,347.0,5
43,80.0,97.0,560.0,355.0,6
43,78.0,370.0,742.0,518.0,7
43,3.0,538.0,821.0,1092.0,8
44,1239.0,101.0,1577.0,374.0,0
44,1100.0,101.0,1226.0,374.0,1
44,915.0,99.0,1088.0,372.0,2
44,833.0,395.0,1647.0,804.0,3
44,1253.0,825.0,1576.0,1098.0,4
44,917.0,823.0,1242.0,1098.0,5
44,9.0,105.0,825.0,494.0,6
44,82.0,513.0,744.0,641.0,7
44,84.0,662.0,746.0,1102.0,8
45,827.0,6.0,1647.0,686.0,0
45,915.0,629.0,1574.0,1099.0,1
45,5.0,99.0,825.0,512.0,2
45,428.0,532.0,745.0,743.0,3
45,457.0,750.0,746.0,943.0,4
45,473.0,949.0,745.0,1089.0,5
45,82.0,534.0,489.0,1094.0,6
46,1325.0,103.0,1569.0,329.0,0
46,907.0,103.0,1314.0,327.0,1
46,829.0,348.0,1647.0,784.0,2
46,1416.0,805.0,1574.0,1098.0,3
46,1105.0,811.0,1406.0,1094.0,4
46,907.0,807.0,1094.0,1094.0,5
46,84.0,101.0,748.0,469.0,6
46,322.0,485.0,749.0,652.0,7
46,84.0,485.0,308.0,656.0,8
46,5.0,674.0,825.0,1097.0,9
47,829.0,6.0,1649.0,564.0,0
47,1357.0,582.0,1562.0,822.0,1
47,1355.0,841.0,1564.0,1093.0,2
47,903.0,585.0,1345.0,1094.0,3
47,312.0,99.0,751.0,370.0,4
47,88.0,99.0,295.0,368.0,5
47,5.0,391.0,823.0,757.0,6
47,88.0,772.0,752.0,1169.0,7
48,1053.0,0.0,1645.0,454.0,0
48,852.0,114.0,1086.0,452.0,1
48,887.0,466.0,1265.0,600.0,2
48,1217.0,470.0,1551.0,1169.0,3
48,832.0,599.0,1265.0,947.0,4
48,887.0,949.0,1216.0,1101.0,5
48,1.0,4.0,823.0,835.0,6
48,82.0,839.0,748.0,1099.0,7
49,913.0,105.0,1575.0,484.0,0
49,911.0,501.0,1577.0,725.0,1
49,833.0,668.0,1647.0,1102.0,2
49,1.0,4.0,817.0,389.0,3
49,5.0,366.0,534.0,573.0,4
49,440.0,395.0,759.0,1167.0,5
49,5.0,593.0,506.0,790.0,6
49,92.0,746.0,489.0,1104.0,7
50,1292.0,105.0,1554.0,378.0,0
50,836.0,4.0,1302.0,379.0,1
50,832.0,385.0,1650.0,896.0,2
50,893.0,900.0,1559.0,1099.0,3
50,538.0,95.0,757.0,472.0,4
50,418.0,99.0,536.0,474.0,5
50,1.0,4.0,418.0,495.0,6
50,7.0,491.0,821.0,833.0,7
50,428.0,809.0,764.0,1094.0,8
50,96.0,790.0,440.0,1095.0,9
51,1272.0,99.0,1561.0,251.0,0
51,1270.0,236.0,1563.0,368.0,1
51,897.0,103.0,1259.0,374.0,2
51,835.0,377.0,1649.0,896.0,3
51,897.0,915.0,1561.0,1094.0,4
51,341.0,93.0,750.0,319.0,5
51,88.0,93.0,332.0,321.0,6
51,86.0,340.0,748.0,625.0,7
51,86.0,627.0,750.0,757.0,8
51,300.0,760.0,752.0,1092.0,9
51,84.0,754.0,303.0,1092.0,10
52,1160.0,93.0,1567.0,427.0,0
52,903.0,95.0,1149.0,429.0,1
52,903.0,446.0,1567.0,761.0,2
52,903.0,782.0,1565.0,1089.0,3
54,833.0,4.0,1647.0,586.0,0
54,835.0,603.0,1649.0,831.0,1
54,827.0,854.0,1653.0,1092.0,2
54,88.0,2.0,756.0,444.0,3
54,5.0,468.0,823.0,1095.0,4
55,896.0,93.0,1555.0,366.0,0
55,831.0,385.0,1649.0,839.0,1
55,897.0,860.0,1556.0,1092.0,2
55,373.0,105.0,751.0,416.0,3
55,92.0,99.0,364.0,414.0,4
55,88.0,438.0,752.0,790.0,5
55,94.0,813.0,753.0,1102.0,6
56,830.0,1.0,1648.0,688.0,0
56,900.0,691.0,1560.0,1098.0,1
56,91.0,104.0,758.0,417.0,2
56,496.0,439.0,756.0,724.0,3
56,325.0,440.0,481.0,728.0,4
56,93.0,439.0,313.0,726.0,5
56,93.0,745.0,761.0,1106.0,6
57,1388.0,105.0,1557.0,353.0,0
57,896.0,104.0,1372.0,352.0,1
57,1091.0,371.0,1558.0,758.0,2
57,895.0,371.0,1092.0,758.0,3
57,892.0,775.0,1556.0,1103.0,4
57,520.0,104.0,756.0,459.0,5
57,314.0,102.0,506.0,453.0,6
57,94.0,102.0,302.0,455.0,7
57,93.0,478.0,757.0,662.0,8
57,544.0,679.0,756.0,1103.0,9
57,93.0,681.0,534.0,1103.0,10
58,830.0,1.0,1649.0,572.0,0
58,896.0,594.0,1559.0,766.0,1
58,898.0,788.0,1561.0,1168.0,2
58,537.0,93.0,735.0,457.0,3
58,69.0,93.0,522.0,456.0,4
58,6.0,475.0,820.0,1096.0,5
59,1259.0,2.0,1555.0,601.0,0
59,892.0,4.0,1313.0,621.0,1
59,894.0,622.0,1557.0,764.0,2
59,833.0,780.0,1647.0,1092.0,3
59,5.0,1.0,821.0,523.0,4
59,87.0,544.0,751.0,772.0,5
59,85.0,682.0,751.0,1166.0,6
60,834.0,1.0,1646.0,665.0,0
60,903.0,595.0,1566.0,834.0,1
60,902.0,853.0,1569.0,1097.0,2
60,483.0,96.0,752.0,316.0,3
60,481.0,299.0,751.0,504.0,4
60,5.0,2.0,469.0,500.0,5
60,85.0,523.0,748.0,728.0,6
60,86.0,750.0,750.0,936.0,7
60,85.0,918.0,753.0,1098.0,8
61,830.0,1.0,1646.0,688.0,0
61,1398.0,621.0,1564.0,1096.0,1
61,899.0,635.0,1394.0,1094.0,2
61,90.0,93.0,754.0,394.0,3
61,89.0,412.0,753.0,601.0,4
61,5.0,593.0,819.0,1096.0,5
62,1320.0,93.0,1565.0,488.0,0
62,899.0,96.0,1340.0,514.0,1
62,841.0,488.0,1647.0,676.0,2
62,1135.0,694.0,1562.0,1094.0,3
62,902.0,694.0,1119.0,915.0,4
62,902.0,897.0,1122.0,1094.0,5
62,91.0,98.0,757.0,319.0,6
62,90.0,321.0,756.0,497.0,7
62,7.0,470.0,819.0,1097.0,8
63,834.0,97.0,1650.0,555.0,0
63,891.0,574.0,1555.0,677.0,1
63,893.0,662.0,1557.0,1167.0,2
63,90.0,0.0,754.0,417.0,3
63,8.0,438.0,824.0,939.0,4
63,316.0,882.0,753.0,1100.0,5
63,90.0,919.0,336.0,1102.0,6
64,897.0,4.0,1559.0,434.0,0
64,833.0,436.0,1653.0,1157.0,1
64,833.0,436.0,1653.0,1157.0,1
64,7.0,2.0,823.0,1102.0,2
65,893.0,2.0,1557.0,421.0,0
65,1149.0,423.0,1554.0,726.0,1
65,897.0,442.0,1137.0,723.0,2
65,835.0,729.0,1647.0,1102.0,3
65,5.0,97.0,825.0,649.0,4
65,84.0,613.0,748.0,898.0,5
65,4.0,882.0,826.0,1093.0,6
66,833.0,4.0,1651.0,513.0,0
66,1138.0,517.0,1565.0,1093.0,1
66,907.0,517.0,1181.0,1089.0,2
66,86.0,93.0,743.0,478.0,3
66,88.0,497.0,743.0,1084.0,4
67,909.0,97.0,1568.0,1093.0,0
67,78.0,95.0,744.0,1095.0,1
68,913.0,99.0,1572.0,1099.0,0
68,82.0,101.0,744.0,686.0,1
68,80.0,707.0,746.0,1100.0,2
69,831.0,0.0,1651.0,491.0,0
69,909.0,507.0,1573.0,865.0,1
69,909.0,884.0,1573.0,1098.0,2
69,339.0,0.0,746.0,801.0,3
69,82.0,97.0,336.0,339.0,4
69,82.0,356.0,375.0,798.0,5
69,82.0,819.0,746.0,1102.0,6
70,913.0,101.0,1579.0,586.0,0
70,915.0,599.0,1577.0,837.0,1
70,915.0,841.0,1579.0,1099.0,2
70,363.0,101.0,745.0,423.0,3
70,82.0,101.0,350.0,423.0,4
70,9.0,444.0,821.0,727.0,5
70,371.0,746.0,745.0,1102.0,6
70,84.0,743.0,361.0,1101.0,7
71,1178.0,101.0,1579.0,406.0,0
71,913.0,101.0,1167.0,408.0,1
71,833.0,428.0,1647.0,1102.0,2
71,9.0,95.0,823.0,445.0,3
71,416.0,464.0,748.0,722.0,4
71,82.0,462.0,405.0,720.0,5
71,7.0,739.0,819.0,1097.0,6
72,1358.0,87.0,1571.0,374.0,0
72,1219.0,89.0,1347.0,376.0,1
72,909.0,89.0,1210.0,372.0,2
72,1235.0,395.0,1571.0,700.0,3
72,1247.0,719.0,1570.0,873.0,4
72,1253.0,888.0,1574.0,1087.0,5
72,909.0,391.0,1251.0,1169.0,6
72,396.0,95.0,744.0,461.0,7
72,80.0,91.0,387.0,264.0,8
72,82.0,283.0,387.0,464.0,9
72,434.0,481.0,747.0,1094.0,10
72,82.0,481.0,424.0,864.0,11
72,82.0,882.0,424.0,1093.0,12
73,910.0,93.0,1576.0,392.0,0
73,825.0,391.0,1652.0,833.0,1
73,1242.0,833.0,1574.0,1095.0,2
73,913.0,831.0,1228.0,1095.0,3
73,414.0,105.0,746.0,461.0,4
73,86.0,105.0,401.0,457.0,5
73,7.0,479.0,821.0,1106.0,6
74,1208.0,101.0,1570.0,573.0,0
74,909.0,99.0,1198.0,335.0,1
74,905.0,352.0,1198.0,572.0,2
74,906.0,593.0,1570.0,878.0,3
74,1288.0,894.0,1571.0,1099.0,4
74,907.0,894.0,1279.0,1101.0,5
74,355.0,93.0,737.0,384.0,6
74,74.0,91.0,342.0,378.0,7
74,510.0,403.0,734.0,706.0,8
74,498.0,707.0,738.0,1096.0,9
74,7.0,401.0,508.0,1094.0,10
75,1270.0,93.0,1579.0,461.0,0
75,913.0,95.0,1261.0,459.0,1
75,831.0,476.0,1649.0,716.0,2
75,913.0,737.0,1579.0,1097.0,3
75,70.0,91.0,736.0,333.0,4
75,70.0,352.0,736.0,537.0,5
75,5.0,552.0,823.0,1094.0,6
76,1357.0,95.0,1585.0,529.0,0
76,923.0,4.0,1369.0,562.0,1
76,923.0,532.0,1587.0,709.0,2
76,1290.0,717.0,1585.0,1096.0,3
76,923.0,701.0,1277.0,888.0,4
76,921.0,900.0,1277.0,1097.0,5
76,78.0,95.0,742.0,313.0,6
76,78.0,303.0,742.0,478.0,7
76,5.0,470.0,825.0,1093.0,8
77,827.0,2.0,1647.0,419.0,0
77,1164.0,436.0,1577.0,743.0,1
77,913.0,438.0,1185.0,753.0,2
77,915.0,746.0,1577.0,1169.0,3
77,420.0,93.0,741.0,315.0,4
77,9.0,6.0,418.0,281.0,5
77,5.0,258.0,823.0,1089.0,6
78,1357.0,93.0,1576.0,569.0,0
78,832.0,0.0,1375.0,574.0,1
78,833.0,591.0,1651.0,788.0,2
78,1294.0,792.0,1577.0,1091.0,3
78,1076.0,776.0,1285.0,1091.0,4
78,915.0,762.0,1112.0,1094.0,5
78,298.0,95.0,750.0,390.0,6
78,88.0,95.0,289.0,368.0,7
78,290.0,389.0,823.0,1169.0,8
78,3.0,368.0,322.0,667.0,9
78,90.0,668.0,307.0,1167.0,10
79,1347.0,99.0,1556.0,404.0,0
79,828.0,4.0,1341.0,432.0,1
79,829.0,391.0,1645.0,584.0,2
79,1130.0,582.0,1647.0,1169.0,3
79,895.0,587.0,1218.0,1100.0,4
79,459.0,99.0,744.0,376.0,5
79,9.0,2.0,448.0,377.0,6
79,80.0,393.0,742.0,564.0,7
79,5.0,587.0,819.0,1102.0,8
80,905.0,97.0,1569.0,311.0,0
80,831.0,330.0,1649.0,1094.0,1
1002,1408.0,0.0,1592.0,1169.0,0
1002,1285.0,1.0,1401.0,1164.0,1
1002,940.0,121.0,1225.0,499.0,2
1002,902.0,550.0,1261.0,846.0,3
1002,1113.0,862.0,1265.0,1107.0,4
1002,900.0,860.0,1099.0,1107.0,5
1002,512.0,3.0,749.0,410.0,6
1002,61.0,0.0,563.0,416.0,7
1002,69.0,428.0,746.0,715.0,8
1002,480.0,700.0,746.0,1111.0,9
1002,69.0,719.0,476.0,842.0,10
1002,136.0,850.0,408.0,1053.0,11
1003,893.0,24.0,1579.0,448.0,0
1003,1231.0,447.0,1575.0,745.0,1
1003,902.0,449.0,1215.0,749.0,2
1003,512.0,91.0,738.0,507.0,3
1003,364.0,91.0,500.0,511.0,4
1003,58.0,91.0,347.0,507.0,5
1003,55.0,512.0,736.0,690.0,6
1003,470.0,698.0,740.0,1169.0,7
1003,55.0,696.0,462.0,1168.0,8
1004,1370.0,93.0,1588.0,454.0,0
1004,1136.0,93.0,1354.0,448.0,1
1004,912.0,93.0,1126.0,450.0,2
1004,908.0,453.0,1589.0,772.0,3
1004,1287.0,776.0,1593.0,1120.0,4
1004,1093.0,776.0,1273.0,1128.0,5
1004,910.0,780.0,1088.0,1122.0,6
1004,564.0,1.0,753.0,472.0,7
1004,446.0,5.0,554.0,472.0,8
1004,335.0,1.0,426.0,467.0,9
1004,23.0,1.0,323.0,476.0,10
1004,63.0,491.0,757.0,782.0,11
1004,484.0,795.0,754.0,1166.0,12
1004,364.0,801.0,480.0,1164.0,13
1004,67.0,797.0,363.0,1116.0,14
1005,896.0,3.0,1585.0,534.0,0
1005,1346.0,548.0,1582.0,780.0,1
1005,1196.0,544.0,1344.0,780.0,2
1005,898.0,549.0,1196.0,778.0,3
1005,1177.0,788.0,1550.0,1116.0,4
1005,894.0,790.0,1173.0,1118.0,5
1005,524.0,277.0,749.0,507.0,6
1005,57.0,84.0,470.0,510.0,7
1005,59.0,527.0,748.0,735.0,8
1005,532.0,747.0,747.0,1111.0,9
1005,398.0,748.0,521.0,1114.0,10
1005,226.0,750.0,385.0,1114.0,11
1005,57.0,750.0,220.0,1114.0,12
1006,1408.0,86.0,1631.0,549.0,0
1006,1170.0,86.0,1408.0,546.0,1
1006,913.0,84.0,1172.0,551.0,2
1006,1225.0,566.0,1623.0,1169.0,3
1006,1129.0,563.0,1275.0,1169.0,4
1006,900.0,559.0,1121.0,1169.0,5
1006,25.0,0.0,759.0,354.0,6
1006,64.0,322.0,758.0,656.0,7
1006,562.0,668.0,755.0,1109.0,8
1006,408.0,666.0,550.0,1107.0,9
1006,250.0,668.0,402.0,1109.0,10
1006,64.0,670.0,251.0,1105.0,11
1007,1393.0,1.0,1586.0,502.0,0
1007,1275.0,1.0,1383.0,506.0,1
1007,1108.0,3.0,1273.0,502.0,2
1007,898.0,0.0,1100.0,507.0,3
1007,1146.0,517.0,1589.0,1108.0,4
1007,900.0,519.0,1140.0,1108.0,5
1007,443.0,3.0,754.0,498.0,6
1007,25.0,0.0,437.0,500.0,7
1007,25.0,0.0,437.0,500.0,7
1007,25.0,0.0,437.0,500.0,7
1007,166.0,508.0,639.0,703.0,8
1007,503.0,711.0,760.0,1109.0,9
1007,353.0,711.0,495.0,1107.0,10
1007,237.0,709.0,351.0,1105.0,11
1007,64.0,709.0,234.0,1110.0,12
1008,1427.0,0.0,1588.0,1168.0,0
1008,1264.0,0.0,1425.0,407.0,1
1008,901.0,0.0,1265.0,416.0,2
1008,898.0,418.0,1419.0,600.0,3
1008,1234.0,611.0,1419.0,761.0,4
1008,1232.0,765.0,1419.0,1110.0,5
1008,898.0,608.0,1230.0,1167.0,6
1008,455.0,84.0,766.0,512.0,7
